ATM VodaCom-JSON,11111,,,
GenericFieldName,JSON Field (IN),L1FieldName,JSON Field (OUT),L3FieldName
Transaction Date,transaction_date,message_collection[0].message_exchange.request.audit_info.created_on,transaction_date,message_collection[1].message_exchange.request.audit_info.created_on
Transaction Amount,amount,message_collection[0].message_exchange.request.transaction.transaction_amount.amount,amount,message_collection[1].message_exchange.request.transaction.transaction_amount.amount
Currency Code,currency,message_collection[0].message_exchange.request.transaction.transaction_amount.currency_code,currency,message_collection[1].message_exchange.request.transaction.transaction_amount.currency_code
RRN number,merchant_transaction_reference_id,message_collection[0].message_exchange.request.transaction.retrieval_reference_number,merchant_transaction_reference_id,message_collection[1].message_exchange.request.transaction.retrieval_reference_number
POS Entry Mode,entry_mode,message_collection[0].message_exchange.request.point_of_sale.capabilities.entry_mode,entry_mode,message_collection[1].message_exchange.request.point_of_sale.capabilities.entry_mode
Merchant Category Code,merchant_category_code,message_collection[0].message_exchange.request.merchant_details.merchant_category_code,merchant_category_code,message_collection[0].message_exchange.request.merchant_details.merchant_category_code
Merchant Code,merchant_id,message_collection[0].message_exchange.request.merchant_details.merchant_code,merchant_id,message_collection[1].message_exchange.request.merchant_details.merchant_code
Device Code,terminal_id,message_collection[0].message_exchange.request.merchant_details.device_code,terminal_id,message_collection[1].message_exchange.request.merchant_details.device_code
